List of Haircut
Date Uploaded: 20200630
Date|Instrument Code|Instrument Name|Haircut (%)|Keterangan|
20200630|COWL|Cowell Development Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CPIN|Charoen Pokphand Indonesia Tbk|15|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CPRI|Capri Nusa Satu Properti Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CPRO|Central Proteina Prima Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CSAP|Catur Sentosa Adiprana Tbk.|15|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CSIS|Cahayasakti Investindo Sukses Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CSMI|PT Cipta Selera Murni Tbk.|85|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CSRA|PT Cisadane Sawit Raya Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CTBN|Citra Tubindo Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CTRA|Ciputra Development Tbk.|15|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|CTTH|Citatah Tbk.|50|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DADA|PT Diamond Citra Propertindo Tbk|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DART|Duta Anggada Realty Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DAYA|Duta Intidaya Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DEAL|Dewata Freightinternational Tbk.|60|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DEFI|Danasupra Erapacific Tbk|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DEWA|Darma Henwa Tbk|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DFAM|Dafam Property Indonesia Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DGIK|Nusa Konstruksi Enjiniring Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DIGI|Arkadia Digital Media Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DILD|Intiland Development Tbk.|25|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DIVA|Distribusi Voucher Nusantara Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DKFT|Central Omega Resources Tbk.|20|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DLTA|Delta Djakarta Tbk.|15|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DMAS|Puradelta Lestari Tbk.|20|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DMMX|PT Digital Mediatama Maxima Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DMND|PT Diamond Food Indonesia Tbk.|40|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DNAR|Bank Oke Indonesia Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DNET|Indoritel Makmur Internasional Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DOID|Delta Dunia Makmur Tbk.|40|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DPNS|Duta Pertiwi Nusantara Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DPUM|Dua Putra Utama Makmur Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DSFI|Dharma Samudera Fishing Industries Tbk.|45|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DSNG|Dharma Satya Nusantara Tbk.|20|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DSSA|Dian Swastatika Sentosa Tbk|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DUCK|Jaya Bersama Indo Tbk.|55|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|DUTI|Duta Pertiwi Tbk|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
